X0;X1;X2;RCE
1656684602.66518;0.06;0.39;1467.79
1656684902.6705751;0.06;0.36;1467.79
1656685202.6759703;0.05;0.32;1467.79
1656685502.6813653;0.05;0.32;1467.79
1656685802.6867604;0.04;0.3;1467.79
1656686102.6921556;0.25;0.35;1467.79
1656686402.6975505;0.25;0.35;1467.79
1656686702.7029457;0.25;0.35;1467.79
1656687002.708341;0.39;0.33;1467.79
1656687302.7137358;0.44;0.18;1757.37
1656687602.719131;0.53;0.15;1757.37
1656687902.7245262;0.53;0.12;1757.37
1656688202.7299213;0.53;0.12;1757.37
1656688502.7353163;0.49;0.14;1757.37
1656688802.7407115;0.46;2.87;1757.37
1656689102.7461066;0.46;0.12;1757.37
1656689402.7515016;0.49;0.13;1757.37
1656689702.7568967;0.53;0.13;1757.37
1656690002.762292;0.6;0.22;1757.37
1656690302.7676868;0.69;0.15;1757.37
1656690602.773082;0.76;0.26;1757.37
1656690902.7784772;0.74;0.31;1707.21
1656691202.7838721;0.66;0.24;1707.21
1656691502.7892673;0.66;0.24;1707.21
1656691802.7946625;0.47;0.23;1707.21
1656692102.8000576;0.45;0.22;1707.21
1656692402.8054526;0.4;0.23;1707.21
1656692702.8108478;0.49;0.7;1707.21
1656693002.816243;0.43;0.59;1707.21
1656693302.8216379;0.36;1.01;1707.21
1656693602.827033;0.45;1.28;1707.21
1656693902.8324282;0.24;0.32;1707.21
1656694202.8378232;0.24;0.32;1707.21
1656694502.8432183;0.19;0.2;1539.37
1656694802.8486135;0.17;0.23;1539.37
1656695102.8540087;0.17;0.19;1539.37
1656695402.8594036;0.14;0.18;1539.37
1656695702.8647988;0.13;0.18;1539.37
1656696002.870194;0.12;0.18;1539.37
1656696302.875589;0.12;0.18;1539.37
1656696602.880984;0.1;0.18;1539.37
1656696902.8863792;0.06;0.18;1539.37
1656697202.8917742;0.04;0.2;1539.37
1656697502.8971694;0.04;0.2;1539.37
1656697802.9025645;0.02;0.19;1539.37
1656698102.9079595;0.01;0.24;1458.88
1656698402.9133546;0.0;0.24;1458.88
1656698702.9187498;0.0;0.18;1458.88
1656699002.924145;0.0;0.23;1458.88
1656699302.92954;0.0;0.19;1458.88
1656699602.934935;0.0;0.3;1458.88
1656699902.9403303;0.0;0.26;1458.88
1656700202.9457252;0.0;0.26;1458.88
1656700502.9511204;0.0;0.26;1458.88
1656700802.9565156;0.0;0.26;1458.88
1656701102.9619105;0.0;0.26;1458.88
1656701402.9673057;0.0;0.26;1458.88
1656701702.9727008;0.0;0.25;1163.33
1656702002.9780958;0.0;0.24;1163.33
1656702302.983491;0.0;0.24;1163.33
1656702602.988886;0.0;0.24;1163.33
1656702902.9942813;0.0;0.44;1163.33
1656703202.9996762;0.0;0.44;1163.33
1656703503.0050714;0.0;0.44;1163.33
1656703803.0104666;0.0;0.44;1163.33
1656704103.0158615;0.0;0.42;1163.33
1656704403.0212567;0.0;0.36;1163.33
1656704703.0266519;0.0;0.36;1163.33
1656705003.0320468;0.0;0.35;1163.33
1656705303.037442;0.0;0.32;1183.81
1656705603.0428371;0.0;0.32;1183.81
1656705903.0482323;0.0;0.32;1183.81
1656706203.0536273;0.0;0.32;1183.81
1656706503.0590224;0.0;0.32;1183.81
1656706803.0644176;0.0;0.46;1183.81
1656707103.0698125;0.0;0.46;1183.81
1656707403.0752077;0.0;1.61;1183.81
1656707703.080603;0.0;1.61;1183.81
1656708003.0859978;0.0;0.26;1183.81
1656708303.091393;0.0;0.26;1183.81
1656708603.0967882;0.0;0.26;1183.81
1656708903.102183;0.0;0.26;1056.68
1656709203.1075783;0.0;0.26;1056.68
1656709503.1129735;0.0;0.26;1056.68
1656709803.1183686;0.0;0.26;1056.68
1656710103.1237636;0.0;0.26;1056.68
